Dia,Tmin,Tmed,Tmax
2025/01/01,24.30,26.77,31.90
2025/01/02,23.40,27.91,34.70
2025/01/03,24.70,28.70,35.70
2025/01/04,26.20,29.76,35.40
2025/01/05,25.80,27.57,31.00
2025/01/06,24.50,27.85,32.70
2025/01/07,23.60,26.44,29.90
2025/01/08,24.00,26.30,30.00
2025/01/09,23.10,24.14,26.50
2025/01/10,21.20,24.38,27.80
2025/01/11,21.50,24.85,29.40
2025/01/12,22.00,24.82,27.60
2025/01/13,21.70,23.76,27.80
2025/01/14,22.30,23.87,26.10
2025/01/15,22.60,24.55,27.90
2025/01/16,24.10,27.04,31.60
2025/01/17,25.30,29.97,35.40
2025/01/18,26.10,31.04,38.60
2025/01/19,26.30,31.02,38.10
2025/01/20,27.40,31.38,38.20
2025/01/21,27.80,32.22,38.70
2025/01/22,28.90,31.93,36.50
2025/01/23,27.00,29.46,33.60
2025/01/24,25.30,28.91,33.80
2025/01/25,25.60,30.01,37.80
2025/01/26,27.70,29.59,33.40
2025/01/27,26.00,27.41,29.80
2025/01/28,24.00,27.17,31.90
2025/01/29,24.40,27.95,34.20
2025/01/30,25.00,27.90,34.60
2025/01/31,24.20,27.30,34.00
2025/02/01,24.50,28.38,34.70
2025/02/02,25.20,29.66,35.60
2025/02/03,25.80,30.79,36.60
2025/02/04,26.20,30.47,36.50
2025/02/05,26.00,31.01,37.10
2025/02/06,25.80,31.29,36.80
2025/02/07,26.90,31.20,36.40
2025/02/08,24.90,28.76,33.10
2025/02/09,25.10,28.69,33.80
2025/02/10,25.10,29.37,34.70
2025/02/11,25.80,29.75,35.80
2025/02/12,25.60,30.92,37.60
2025/02/13,26.40,30.88,37.80
2025/02/14,26.50,29.55,34.20
2025/02/15,26.00,30.15,35.80
2025/02/16,26.00,31.45,37.90
2025/02/17,26.30,33.18,41.30
2025/02/18,27.90,32.72,39.80
2025/02/19,26.10,30.50,36.40
2025/02/20,25.60,31.02,37.30
2025/02/21,26.90,30.02,33.90
2025/02/22,26.00,29.72,34.80
2025/02/23,25.80,29.42,34.20
2025/02/24,24.80,29.32,35.50
2025/02/25,25.90,29.88,35.90
2025/02/26,25.70,29.55,34.60
2025/02/27,25.70,30.32,36.50
2025/02/28,25.90,29.87,36.20
2025/03/01,25.20,30.03,36.00
2025/03/02,25.30,29.85,36.10
2025/03/03,25.70,29.64,35.80
2025/03/04,25.60,28.70,34.20
2025/03/05,24.80,28.60,34.00
2025/03/06,25.70,28.50,33.30
2025/03/07,25.60,27.36,31.40
2025/03/08,24.70,28.35,33.90
2025/03/09,25.30,29.56,36.20
2025/03/10,25.70,28.55,32.50
2025/03/11,25.50,28.72,33.70
2025/03/12,25.50,29.35,35.20
2025/03/13,25.60,28.05,32.80
2025/03/14,25.50,27.47,32.10
2025/03/15,25.50,27.65,31.30
2025/03/16,25.10,26.90,29.40
2025/03/17,25.00,25.64,26.90
2025/03/18,23.00,27.19,33.40
2025/03/19,24.40,26.54,29.10
2025/03/20,22.60,23.90,25.50
2025/03/21,22.40,25.00,29.20
2025/03/22,23.40,27.19,32.80
2025/03/23,24.70,28.15,33.90
2025/03/24,24.30,26.73,29.70
2025/03/25,23.60,26.72,31.70
2025/03/26,24.80,27.24,31.10
2025/03/27,24.80,27.35,31.80
2025/03/28,24.10,27.38,32.10
2025/03/29,24.10,28.00,33.30
2025/03/30,25.30,28.00,32.80
2025/03/31,25.60,27.79,30.70
2025/04/01,26.10,28.96,34.20
2025/04/02,24.40,28.62,34.20
2025/04/03,25.50,29.63,35.00
2025/04/04,24.40,27.25,31.30
2025/04/05,22.30,23.32,24.70
2025/04/06,21.30,22.24,24.00
2025/04/07,20.40,23.19,27.80
2025/04/08,19.50,24.12,29.10
2025/04/09,21.30,26.40,32.90
2025/04/10,22.00,25.45,29.30
2025/04/11,20.90,23.77,28.10
2025/04/12,22.30,25.05,28.50
2025/04/13,22.50,25.89,30.80
2025/04/14,23.60,25.38,27.60
2025/04/15,23.10,24.72,28.30
2025/04/16,23.10,24.53,26.90
2025/04/17,21.90,24.80,29.30
2025/04/18,23.00,26.02,29.90
2025/04/19,24.20,27.42,32.50
2025/04/20,21.40,24.50,27.50
2025/04/21,20.50,22.16,23.20
2025/04/22,20.30,22.10,24.70
2025/04/23,20.40,23.70,28.40
2025/04/24,21.30,25.31,30.60
2025/04/25,22.30,23.92,26.20
2025/04/26,20.90,23.93,28.20
2025/04/27,21.10,25.52,30.40
2025/04/28,22.50,25.88,32.10
2025/04/29,20.80,22.19,24.50
2025/04/30,19.90,22.61,25.80
2025/05/01,19.20,22.98,27.40
2025/05/02,18.40,22.72,28.10
2025/05/03,18.70,22.99,28.50
2025/05/04,19.40,23.29,27.60
2025/05/05,20.20,23.72,27.60
2025/05/06,20.20,24.13,28.60
2025/05/07,22.80,25.69,30.00
2025/05/08,21.20,25.66,31.20
2025/05/09,21.90,27.36,33.90
2025/05/10,22.80,27.06,34.80
2025/05/11,19.30,21.93,25.20
2025/05/12,19.40,21.39,24.60
2025/05/13,20.00,22.83,27.00
2025/05/14,18.70,22.15,25.40
2025/05/15,19.90,22.71,26.60
2025/05/16,19.50,23.37,28.20
2025/05/17,18.70,23.49,28.50
2025/05/18,18.60,23.86,29.30
2025/05/19,18.60,24.19,30.70
2025/05/20,18.40,23.95,30.90
2025/05/21,18.60,23.05,29.20
2025/05/22,19.20,23.24,28.30
2025/05/23,20.80,23.05,25.40
2025/05/24,20.30,21.88,23.70
2025/05/25,18.70,22.49,26.80
2025/05/26,18.80,23.17,28.30
2025/05/27,19.70,24.34,30.50
2025/05/28,21.00,26.01,31.50
2025/05/29,22.10,25.13,27.00
